,Date,connection,population,actual_limit,factor,consumption
40,2017-02-10,4068,19522,2635470,1.1660644483097378,3073127
41,2017-02-11,4068,19522,2635470,1.1673235404706437,3076446
42,2017-02-12,4069,19527,2636145,1.182101677698952,3116191
43,2017-02-13,4070,19531,2636685,1.1271115947030697,2971838
44,2017-02-14,4070,19531,2636685,1.182734676489575,3118498
45,2017-02-15,4071,19536,2637360,1.1480869452786873,3027918
46,2017-02-16,4072,19541,2638035,1.1498948096215436,3033462
47,2017-02-17,4073,19546,2638710,1.1152012987695483,2942692
48,2017-02-18,4075,19555,2639925,1.1772550318681037,3107864
49,2017-02-19,4075,19555,2639925,1.1757859303450104,3103986
50,2017-02-20,4075,19555,2639925,1.1111714542715765,2933409
51,2017-02-21,4075,19555,2639925,1.1531793301405386,3044306
52,2017-02-22,4075,19555,2639925,1.153169531200992,3044281
53,2017-02-23,4076,19560,2640600,1.1770538266924948,3108128
54,2017-02-24,4076,19560,2640600,1.175086561308221,3102933
55,2017-02-25,4076,19560,2640600,1.1587771391798267,3059866
56,2017-02-26,4076,19560,2640600,1.1923924728435964,3148631
57,2017-02-27,4078,19570,2641950,1.1270253940664503,2977544
58,2017-02-28,4079,19575,2642625,1.185883112972376,3133844
59,2017-03-01,4080,19579,2643165,1.1873984194955365,3138489
60,2017-03-02,4081,19584,2643840,1.1235345912137793,2970445
61,2017-03-03,4081,19584,2643840,1.1899542600861346,3146048
62,2017-03-04,4082,19589,2644515,1.1134223806750796,2944462
63,2017-03-05,4082,19589,2644515,1.130077425492493,2988506
64,2017-03-06,4082,19589,2644515,1.1965563173160838,3164311
65,2017-03-07,4084,19599,2645865,1.1244933723593136,2975257
66,2017-03-08,4085,19603,2646405,1.1189057157266822,2961077
67,2017-03-09,4085,19603,2646405,1.138747505816153,3013587
68,2017-03-10,4085,19603,2646405,1.1607696084403207,3071866
69,2017-03-11,4086,19608,2647080,1.173357870250899,3105972
70,2017-03-12,4086,19608,2647080,1.1547406998949323,3056691
71,2017-03-13,4087,19613,2647755,1.1343993714168403,3003611
72,2017-03-14,4087,19613,2647755,1.1617389908711602,3076000
73,2017-03-15,4087,19613,2647755,1.1568421490162253,3063034
74,2017-03-16,4087,19613,2647755,1.121591179203106,2969698
75,2017-03-17,4088,19618,2648430,1.152331018957493,3051868
76,2017-03-18,4088,19618,2648430,1.120647921154216,2967957
77,2017-03-19,4089,19623,2649105,1.1713527849755194,3103036
78,2017-03-20,4090,19627,2649645,1.1589045388743593,3070685
79,2017-03-21,4091,19632,2650320,1.1736416478216702,3110525
80,2017-03-22,4091,19632,2650320,1.1597399105918145,3073681
81,2017-03-23,4092,19637,2650995,1.1802656825938174,3128878
82,2017-03-24,4092,19637,2650995,1.1855162124289471,3142797
83,2017-03-25,4092,19637,2650995,1.1704587592156095,3102880
84,2017-03-26,4094,19647,2652345,1.1176450845387391,2964380
85,2017-03-27,4094,19647,2652345,1.1971511962731192,3175257
86,2017-03-28,4095,19651,2652885,1.1584224353815114,3073161
87,2017-03-29,4095,19651,2652885,1.1148676574974985,2957615
88,2017-03-30,4095,19651,2652885,1.1922938612039329,3163018
89,2017-03-31,4096,19656,2653560,1.190629164957366,3159405
90,2017-04-01,4096,19656,2653560,1.1471094272979223,3043923
91,2017-04-02,4096,19656,2653560,1.168910065865628,3101772
92,2017-04-03,4097,19661,2654235,1.1901461577383838,3158927
93,2017-04-04,4097,19661,2654235,1.1834326062673013,3141108
94,2017-04-05,4098,19666,2654910,1.123850951764756,2983723
95,2017-04-06,4098,19666,2654910,1.1562928484570978,3069853
96,2017-04-07,4098,19666,2654910,1.1431687714975287,3035010
97,2017-04-08,4098,19666,2654910,1.1444514511142985,3038415
98,2017-04-09,4099,19671,2655585,1.1893406945742748,3158395
99,2017-04-10,4101,19680,2656800,1.1374063626975344,3021861
100,2017-04-11,4101,19680,2656800,1.1546319517487418,3067626
101,2017-04-12,4101,19680,2656800,1.1174955225063314,2968962
102,2017-04-13,4101,19680,2656800,1.1530284095026804,3063365
103,2017-04-14,4101,19680,2656800,1.195347175837628,3175798
104,2017-04-15,4103,19690,2658150,1.1566205212508511,3074470
105,2017-04-16,4103,19690,2658150,1.1563133613814829,3073654
106,2017-04-17,4104,19695,2658825,1.189786346634222,3163433
107,2017-04-18,4105,19699,2659365,1.132273542918392,3011128
108,2017-04-19,4105,19699,2659365,1.1894308666175952,3163130
109,2017-04-20,4105,19699,2659365,1.1140313749915003,2962616
110,2017-04-21,4105,19699,2659365,1.14291928531415,3039439
111,2017-04-22,4106,19704,2660040,1.1901603907592164,3165874
112,2017-04-23,4106,19704,2660040,1.1764516803332503,3129408
113,2017-04-24,4107,19709,2660715,1.126073178828227,2996159
114,2017-04-25,4107,19709,2660715,1.1882159321271764,3161503
115,2017-04-26,4107,19709,2660715,1.108792869665313,2950181
116,2017-04-27,4107,19709,2660715,1.1113449477619637,2956972
117,2017-04-28,4107,19709,2660715,1.118982467002577,2977293
118,2017-04-29,4107,19709,2660715,1.1404080953938271,3034300
119,2017-04-30,4108,19714,2661390,1.177840348297041,3134692
120,2017-05-01,4108,19714,2661390,1.1872661278026728,3159778
121,2017-05-02,4108,19714,2661390,1.1956417830411945,3182069
122,2017-05-03,4108,19714,2661390,1.2192000203157218,3244766
123,2017-05-04,4108,19714,2661390,1.2020181477012422,3199039
124,2017-05-05,4110,19723,2662605,1.1784316725813937,3137698
125,2017-05-06,4110,19723,2662605,1.19767203256421,3188927
126,2017-05-07,4110,19723,2662605,1.2181712126953257,3243508
127,2017-05-08,4111,19728,2663280,1.1737783954478176,3126100
128,2017-05-09,4111,19728,2663280,1.1647996080335008,3102187
129,2017-05-10,4111,19728,2663280,1.1552104296424206,3076648
130,2017-05-11,4111,19728,2663280,1.1566610730151765,3080512
131,2017-05-12,4112,19733,2663955,1.2094928557254652,3222034
132,2017-05-13,4113,19738,2664630,1.1822242785382189,3150190
133,2017-05-14,4114,19743,2665305,1.193277667660836,3180448
134,2017-05-15,4115,19747,2665845,1.1690136429700675,3116409
135,2017-05-16,4115,19747,2665845,1.1905418186377104,3173799
136,2017-05-17,4116,19752,2666520,1.2176877832020505,3246988
137,2017-05-18,4116,19752,2666520,1.1901019099758838,3173430
138,2017-05-19,4116,19752,2666520,1.1715568441092878,3123979
139,2017-05-20,4116,19752,2666520,1.172363664490435,3126131
140,2017-05-21,4116,19752,2666520,1.174079667651654,3130706
141,2017-05-22,4116,19752,2666520,1.2221636543740997,3258923
142,2017-05-23,4116,19752,2666520,1.1583305062449876,3088711
143,2017-05-24,4117,19757,2667195,1.2005314170801926,3202051
144,2017-05-25,4118,19762,2667870,1.20547468467921,3216049
145,2017-05-26,4118,19762,2667870,1.1548627405202376,3081023
146,2017-05-27,4118,19762,2667870,1.165390845721168,3109111
147,2017-05-28,4118,19762,2667870,1.1911951040093611,3177953
148,2017-05-29,4120,19771,2669085,1.1853954237165916,3163921
149,2017-05-30,4120,19771,2669085,1.2258765634296027,3271968
150,2017-05-31,4121,19776,2669760,1.2180323722223594,3251854
151,2017-06-01,4121,19776,2669760,1.2258026971687443,3272599
152,2017-06-02,4122,19781,2670435,1.188537563226873,3173912
153,2017-06-03,4123,19786,2671110,1.2278574518199592,3279742
154,2017-06-04,4123,19786,2671110,1.235941300655022,3301335
155,2017-06-05,4124,19791,2671785,1.1885502092140807,3175550
156,2017-06-06,4124,19791,2671785,1.1722818313731724,3132085
157,2017-06-07,4125,19795,2672325,1.1887157601991425,3176634
158,2017-06-08,4125,19795,2672325,1.2014329337935248,3210619
159,2017-06-09,4126,19800,2673000,1.1691287529472336,3125081
160,2017-06-10,4127,19805,2673675,1.2068472681494742,3226717
161,2017-06-11,4128,19810,2674350,1.2164368341596896,3253177
162,2017-06-12,4128,19810,2674350,1.176795769589334,3147163
163,2017-06-13,4129,19815,2675025,1.15484131217355,3089229
164,2017-06-14,4130,19819,2675565,1.2187746550502088,3260910
165,2017-06-15,4132,19829,2676915,1.2368845366053365,3311034
166,2017-06-16,4133,19834,2677590,1.1847816834988028,3172359
167,2017-06-17,4133,19834,2677590,1.152103724655675,3084861
168,2017-06-18,4133,19834,2677590,1.2158919806810242,3255660
169,2017-06-19,4133,19834,2677590,1.1633681398501436,3115022
170,2017-06-20,4134,19839,2678265,1.231850953769108,3299223
171,2017-06-21,4135,19843,2678805,1.1962206656094243,3204441
172,2017-06-22,4135,19843,2678805,1.229441066498549,3293432
173,2017-06-23,4135,19843,2678805,1.213275171801523,3250127
174,2017-06-24,4135,19843,2678805,1.1694217370988396,3132652
175,2017-06-25,4135,19843,2678805,1.185975060423149,3176995
176,2017-06-26,4136,19848,2679480,1.2331671502641626,3304246
177,2017-06-27,4136,19848,2679480,1.1780670155140462,3156607
178,2017-06-28,4138,19858,2680830,1.1680320320993698,3131295
179,2017-06-29,4139,19863,2681505,1.1689629114254372,3134579
180,2017-06-30,4139,19863,2681505,1.1736464493535677,3147138
181,2017-07-01,4139,19863,2681505,1.1732108005901982,3145970
182,2017-07-02,4140,19867,2682045,1.1854355197721267,3179391
183,2017-07-03,4140,19867,2682045,1.228441151299094,3294734
184,2017-07-04,4140,19867,2682045,1.2191960269418487,3269938
185,2017-07-05,4141,19872,2682720,1.188240698765086,3187717
186,2017-07-06,4141,19872,2682720,1.1582801490315566,3107341
187,2017-07-07,4142,19877,2683395,1.169126750135418,3137228
188,2017-07-08,4143,19882,2684070,1.224857661786157,3287603
189,2017-07-09,4143,19882,2684070,1.2233190282748048,3283473
190,2017-07-10,4143,19882,2684070,1.2092843461035456,3245803
191,2017-07-11,4144,19887,2684745,1.193521153401918,3204299
192,2017-07-12,4144,19887,2684745,1.2101567169414726,3248962
193,2017-07-13,4144,19887,2684745,1.229089565699551,3299792
194,2017-07-14,4144,19887,2684745,1.1597868576489636,3113731
195,2017-07-15,4145,19891,2685285,1.2236327775945957,3285802
196,2017-07-16,4145,19891,2685285,1.224639736176972,3288506
197,2017-07-17,4145,19891,2685285,1.1924807040483727,3202150
198,2017-07-18,4145,19891,2685285,1.1752999399870734,3156015
199,2017-07-19,4146,19896,2685960,1.1721561739996185,3148364
200,2017-07-20,4146,19896,2685960,1.2125277234446683,3256800
201,2017-07-21,4146,19896,2685960,1.2377187197050312,3324462
202,2017-07-22,4147,19901,2686635,1.2289628199391025,3301774
203,2017-07-23,4147,19901,2686635,1.1524217468214728,3096136
204,2017-07-24,4148,19906,2687310,1.237879429643626,3326565
205,2017-07-25,4149,19911,2687985,1.1972752026195872,3218257
206,2017-07-26,4150,19915,2688525,1.1753377467550037,3159924
207,2017-07-27,4154,19935,2691225,1.1908125119182629,3204744
208,2017-07-28,4154,19935,2691225,1.1920128370760277,3207974
209,2017-07-29,4154,19935,2691225,1.2101038172212015,3256661
210,2017-07-30,4155,19939,2691765,1.185696321131582,3191615
211,2017-07-31,4155,19939,2691765,1.196248291425451,3220019
212,2017-08-01,4156,19944,2692440,1.2176516406812865,3278453
213,2017-08-02,4157,19949,2693115,1.1896730967238354,3203926
214,2017-08-03,4157,19949,2693115,1.2219262777025603,3290787
215,2017-08-04,4158,19954,2693790,1.1900138356745458,3205647
216,2017-08-05,4159,19959,2694465,1.174045861171968,3163425
217,2017-08-06,4160,19963,2695005,1.237562515396874,3335237
218,2017-08-07,4160,19963,2695005,1.2186497778768797,3284267
219,2017-08-08,4160,19963,2695005,1.223766217455493,3298056
220,2017-08-09,4161,19968,2695680,1.1851070920349882,3194669
221,2017-08-10,4162,19973,2696355,1.2314446264234136,3320411
222,2017-08-11,4164,19983,2697705,1.2166526995912117,3282170
223,2017-08-12,4165,19987,2698245,1.1510532455184157,3105823
224,2017-08-13,4165,19987,2698245,1.20554777248524,3252863
225,2017-08-14,4168,20002,2700270,1.1714618911117292,3163263
226,2017-08-15,4169,20007,2700945,1.2272753447945826,3314803
227,2017-08-16,4169,20007,2700945,1.1547076195884969,3118801
228,2017-08-17,4170,20011,2701485,1.2168161416450407,3287210
229,2017-08-18,4173,20026,2703510,1.1703612417819438,3164083
230,2017-08-19,4174,20031,2704185,1.1785777966722997,3187092
231,2017-08-20,4174,20031,2704185,1.1580388245527178,3131551
232,2017-08-21,4174,20031,2704185,1.2231629846114402,3307658
233,2017-08-22,4176,20040,2705400,1.222646374357845,3307747
234,2017-08-23,4177,20045,2706075,1.1790482438780048,3190592
235,2017-08-24,4177,20045,2706075,1.2308052567222645,3330651
236,2017-08-25,4179,20055,2707425,1.22672332968888,3321261
237,2017-08-26,4179,20055,2707425,1.1975014474859602,3242145
238,2017-08-27,4179,20055,2707425,1.1752240250040813,3181830
239,2017-08-28,4180,20059,2707965,1.2219519003774202,3309002
240,2017-08-29,4180,20059,2707965,1.239082679984135,3355392
241,2017-08-30,4180,20059,2707965,1.196454428579479,3239956
242,2017-08-31,4182,20069,2709315,1.059742004128151,2871174
243,2017-09-01,4182,20069,2709315,1.0444789718295489,2829822
244,2017-09-02,4182,20069,2709315,1.0405177344597747,2819090
245,2017-09-03,4183,20074,2709990,1.103712304441698,2991049
246,2017-09-04,4184,20079,2710665,1.116955421737063,3027691
247,2017-09-05,4184,20079,2710665,1.06394822316231,2884007
248,2017-09-06,4186,20088,2711880,1.0428806853203183,2828167
249,2017-09-07,4186,20088,2711880,1.0720170034426313,2907181
250,2017-09-08,4186,20088,2711880,1.0743413352367883,2913484
251,2017-09-09,4187,20093,2712555,1.0456128068889123,2836282
252,2017-09-10,4189,20103,2713905,1.106913858378363,3004059
253,2017-09-11,4190,20107,2714445,1.0790588219189523,2929045
254,2017-09-12,4191,20112,2715120,1.0916301522635627,2963906
255,2017-09-13,4191,20112,2715120,1.1088462575645064,3010650
256,2017-09-14,4192,20117,2715795,1.034691245377228,2810009
257,2017-09-15,4192,20117,2715795,1.0773944066909031,2925982
258,2017-09-16,4192,20117,2715795,1.085947593349681,2949211
259,2017-09-17,4192,20117,2715795,1.052193991888362,2857543
260,2017-09-18,4193,20122,2716470,1.1079412187849018,3009689
261,2017-09-19,4193,20122,2716470,1.075167698596846,2920660
262,2017-09-20,4193,20122,2716470,1.0737348531829982,2916768
263,2017-09-21,4195,20131,2717685,1.0430402573237485,2834654
264,2017-09-22,4196,20136,2718360,1.0854524781994452,2950650
265,2017-09-23,4197,20141,2719035,1.0523501575945793,2861376
266,2017-09-24,4197,20141,2719035,1.0541509175856871,2866273
267,2017-09-25,4197,20141,2719035,1.0803155873443635,2937415
268,2017-09-26,4199,20151,2720385,1.0975033597024613,2985631
269,2017-09-27,4199,20151,2720385,1.0960628849064702,2981713
270,2017-09-28,4200,20155,2720925,1.0974579723286286,2986100
271,2017-09-29,4200,20155,2720925,1.0724141926307624,2917958
272,2017-09-30,4200,20155,2720925,1.1099049426608578,3019968
273,2017-10-01,4201,20160,2721600,1.0550814351212092,2871509
274,2017-10-02,4201,20160,2721600,1.093588236740685,2976309
275,2017-10-03,4201,20160,2721600,1.0812302116180688,2942676
276,2017-10-04,4201,20160,2721600,1.0461894099083189,2847309
277,2017-10-05,4201,20160,2721600,1.0909088891381922,2969017
278,2017-10-06,4202,20165,2722275,1.0538453160376124,2868856
279,2017-10-07,4203,20170,2722950,1.0843634325779663,2952667
280,2017-10-08,4204,20174,2723490,1.1093170285163825,3021213
281,2017-10-09,4204,20174,2723490,1.068474145266369,2909978
282,2017-10-10,4204,20174,2723490,1.0517956861269726,2864555
283,2017-10-11,4206,20184,2724840,1.0990629308428168,2994770
284,2017-10-12,4206,20184,2724840,1.0726760371329775,2922870
285,2017-10-13,4206,20184,2724840,1.061902285282932,2893513
286,2017-10-14,4206,20184,2724840,1.1106744592323008,3026410
287,2017-10-15,4207,20189,2725515,1.069939447476198,2916136
288,2017-10-16,4208,20194,2726190,1.0372401107446234,2827713
289,2017-10-17,4208,20194,2726190,1.1183612251509123,3048865
290,2017-10-18,4208,20194,2726190,1.0424426104714386,2841896
291,2017-10-19,4208,20194,2726190,1.0795348572348489,2943017
292,2017-10-20,4209,20198,2726730,1.0927452644293911,2979621
293,2017-10-21,4210,20203,2727405,1.07454553825635,2930720
294,2017-10-22,4211,20208,2728080,1.080963785740002,2948955
295,2017-10-23,4211,20208,2728080,1.0347905236838597,2822991
296,2017-10-24,4213,20218,2729430,1.0474200081717848,2858859
297,2017-10-25,4214,20222,2729970,1.0313116862949454,2815449
298,2017-10-26,4215,20227,2730645,1.0424709844633293,2846618
299,2017-10-27,4215,20227,2730645,1.0900580822978905,2976561
300,2017-10-28,4216,20232,2731320,1.1085740473294523,3027870
301,2017-10-29,4216,20232,2731320,1.0614275407618707,2899098
302,2017-10-30,4217,20237,2731995,1.0913170841566922,2981472
303,2017-10-31,4217,20237,2731995,1.0399072153485291,2841021
304,2017-11-01,4217,20237,2731995,1.0481536171956294,2863550
305,2017-11-02,4218,20242,2732670,1.1133812600512805,3042503
306,2017-11-03,4218,20242,2732670,1.0582811895050674,2891933
307,2017-11-04,4219,20246,2733210,1.0647815790548771,2910271
308,2017-11-05,4219,20246,2733210,1.0301553952990778,2815631
309,2017-11-06,4221,20256,2734560,1.0486648064359738,2867636
310,2017-11-07,4221,20256,2734560,1.0595704949554312,2897459
311,2017-11-08,4221,20256,2734560,1.095567146853023,2995894
312,2017-11-09,4221,20256,2734560,1.0789383164670552,2950421
313,2017-11-10,4222,20261,2735235,1.0601291674887932,2899702
314,2017-11-11,4223,20266,2735910,1.113653867930552,3046856
315,2017-11-12,4224,20270,2736450,1.046752503387351,2864385
316,2017-11-13,4224,20270,2736450,1.1116169424736595,3041884
317,2017-11-14,4224,20270,2736450,1.0675052982700928,2921174
318,2017-11-15,4225,20275,2737125,1.053987165170345,2884894
319,2017-11-16,4225,20275,2737125,1.0982388400775651,3006016
320,2017-11-17,4225,20275,2737125,1.057265973222831,2893869
321,2017-11-18,4226,20280,2737800,1.0795513197720814,2955595
322,2017-11-19,4227,20285,2738475,1.0607378825228928,2904804
323,2017-11-20,4228,20290,2739150,1.105292876515074,3027562
324,2017-11-21,4228,20290,2739150,1.0820755490283762,2963967
325,2017-11-22,4230,20299,2740365,1.062333653360917,2911181
326,2017-11-23,4231,20304,2741040,1.03974220982148,2849974
327,2017-11-24,4232,20309,2741715,1.05426186030231,2890485
328,2017-11-25,4232,20309,2741715,1.046952240440042,2870444
329,2017-11-26,4233,20314,2742390,1.0427109762397695,2859520
330,2017-11-27,4233,20314,2742390,1.0875935581194565,2982605
331,2017-11-28,4233,20314,2742390,1.0526415857954163,2886753
332,2017-11-29,4234,20318,2742930,1.1040307789695012,3028279
333,2017-11-30,4234,20318,2742930,1.0448772272319848,2866025
334,2017-12-01,4234,20318,2742930,1.0379898806192,2847133
335,2017-12-02,4235,20323,2743605,1.0950175402162965,3004295
336,2017-12-03,4235,20323,2743605,1.093872099647149,3001152
337,2017-12-04,4236,20328,2744280,1.107148206209343,3038324
338,2017-12-05,4236,20328,2744280,1.0402879213995009,2854841
339,2017-12-06,4237,20333,2744955,1.101348047027932,3023150
340,2017-12-07,4238,20338,2745630,1.0824589871661716,2972031
341,2017-12-08,4238,20338,2745630,1.037750503642875,2849278
342,2017-12-09,4239,20342,2746170,1.0690618371598235,2935825
343,2017-12-10,4241,20352,2747520,1.1049906028025325,3035983
344,2017-12-11,4241,20352,2747520,1.1172157775854974,3069572
345,2017-12-12,4242,20357,2748195,1.076372405871049,2958081
346,2017-12-13,4243,20362,2748870,1.0627882158203965,2921466
347,2017-12-14,4243,20362,2748870,1.0903746033347443,2997298
348,2017-12-15,4243,20362,2748870,1.038653824306301,2855124
349,2017-12-16,4244,20366,2749410,1.06534052010346,2929057
350,2017-12-17,4244,20366,2749410,1.0528429511030664,2894696
351,2017-12-18,4244,20366,2749410,1.1117993055798254,3056792
352,2017-12-19,4245,20371,2750085,1.0399455433686882,2859938
353,2017-12-20,4245,20371,2750085,1.0635495681286238,2924851
354,2017-12-21,4246,20376,2750760,1.0343489582876653,2845245
355,2017-12-22,4246,20376,2750760,1.0647251978626064,2928803
356,2017-12-23,4247,20381,2751435,1.0322891727869663,2840276
357,2017-12-24,4247,20381,2751435,1.0584166402405306,2912164
358,2017-12-25,4247,20381,2751435,1.0460866912895894,2878239
359,2017-12-26,4249,20390,2752650,1.0829186090716467,2980895
360,2017-12-27,4252,20405,2754675,1.1111883858144895,3060962
361,2017-12-28,4253,20410,2755350,1.053660962974482,2903204
362,2017-12-29,4253,20410,2755350,1.0774115965609186,2968646
363,2017-12-30,4254,20414,2755890,1.1177396160007034,3080367
364,2017-12-31,4254,20414,2755890,1.0755447408489929,2964082
365,2017-01-02,4038,19378,2616030,1.167477854941382,3054157
366,2017-01-03,4039,19383,2616705,1.145278938100489,2996857
367,2017-01-04,4039,19383,2616705,1.1181817534463494,2925951
368,2017-01-05,4040,19387,2617245,1.136098605316398,2973448
369,2017-01-06,4041,19392,2617920,1.141658878873986,2988771
370,2017-01-07,4042,19397,2618595,1.1844641384950505,3101631
371,2017-01-08,4043,19402,2619270,1.156201606187887,3028404
372,2017-01-09,4044,19407,2619945,1.1573298696272494,3032140
373,2017-01-10,4047,19421,2621835,1.1729251700355348,3075216
374,2017-01-11,4048,19426,2622510,1.1377732467360964,2983821
375,2017-01-12,4049,19431,2623185,1.125718813217469,2952968
376,2017-01-13,4050,19435,2623725,1.1575574832755513,3037112
377,2017-01-14,4050,19435,2623725,1.145179801656187,3004636
378,2017-01-15,4050,19435,2623725,1.1857466890349753,3111073
379,2017-01-16,4051,19440,2624400,1.195000052763455,3136158
380,2017-01-17,4051,19440,2624400,1.135650930437324,2980402
381,2017-01-18,4051,19440,2624400,1.1732792004327208,3079153
382,2017-01-19,4052,19445,2625075,1.153503032476014,3028031
383,2017-01-20,4052,19445,2625075,1.1459512515482804,3008207
384,2017-01-21,4053,19450,2625750,1.11671134491925,2932204
385,2017-01-22,4054,19455,2626425,1.1807311634131872,3101101
386,2017-01-23,4054,19455,2626425,1.1419918257254285,2999355
387,2017-01-24,4055,19459,2626965,1.1128878710342751,2923517
388,2017-01-25,4057,19469,2628315,1.1680162370499667,3069914
389,2017-01-26,4058,19474,2628990,1.1383181368987942,2992626
390,2017-01-27,4058,19474,2628990,1.1554517179364991,3037671
391,2017-01-28,4059,19479,2629665,1.1736514937666072,3086310
392,2017-01-29,4059,19479,2629665,1.156697628889866,3041727
393,2017-01-30,4059,19479,2629665,1.1847420017450638,3115474
394,2017-01-31,4059,19479,2629665,1.1797225522038666,3102275
395,2017-02-01,4061,19488,2630880,1.196305254621763,3147335
396,2017-02-02,4061,19488,2630880,1.1855417573372882,3119018
397,2017-02-03,4062,19493,2631555,1.1641288558844043,3063469
398,2017-02-04,4062,19493,2631555,1.1355100305496253,2988157
399,2017-02-05,4064,19503,2632905,1.1444561249969407,3013244
400,2017-02-06,4065,19507,2633445,1.1716798504297792,3085554
401,2017-02-07,4065,19507,2633445,1.1626999340793618,3061906
402,2017-02-08,4066,19512,2634120,1.1796834204889206,3107427
403,2017-02-09,4068,19522,2635470,1.189132059522778,3133921
404,2017-02-10,4068,19522,2635470,1.1660644483097378,3073127
405,2017-02-11,4068,19522,2635470,1.1673235404706437,3076446
406,2017-02-12,4069,19527,2636145,1.182101677698952,3116191
407,2017-02-13,4070,19531,2636685,1.1271115947030697,2971838
408,2017-02-14,4070,19531,2636685,1.182734676489575,3118498
409,2017-02-15,4071,19536,2637360,1.1480869452786873,3027918
410,2017-02-16,4072,19541,2638035,1.1498948096215436,3033462
411,2017-02-17,4073,19546,2638710,1.1152012987695483,2942692
412,2017-02-18,4075,19555,2639925,1.1772550318681037,3107864
413,2017-02-19,4075,19555,2639925,1.1757859303450104,3103986
414,2017-02-20,4075,19555,2639925,1.1111714542715765,2933409
415,2017-02-21,4075,19555,2639925,1.1531793301405386,3044306
416,2017-02-22,4075,19555,2639925,1.153169531200992,3044281
417,2017-02-23,4076,19560,2640600,1.1770538266924948,3108128
418,2017-02-24,4076,19560,2640600,1.175086561308221,3102933
419,2017-02-25,4076,19560,2640600,1.1587771391798267,3059866
420,2017-02-26,4076,19560,2640600,1.1923924728435964,3148631
421,2017-02-27,4078,19570,2641950,1.1270253940664503,2977544
422,2017-02-28,4079,19575,2642625,1.185883112972376,3133844
423,2017-03-01,4080,19579,2643165,1.1873984194955365,3138489
424,2017-03-02,4081,19584,2643840,1.1235345912137793,2970445
425,2017-03-03,4081,19584,2643840,1.1899542600861346,3146048
426,2017-03-04,4082,19589,2644515,1.1134223806750796,2944462
427,2017-03-05,4082,19589,2644515,1.130077425492493,2988506
428,2017-03-06,4082,19589,2644515,1.1965563173160838,3164311
429,2017-03-07,4084,19599,2645865,1.1244933723593136,2975257
430,2017-03-08,4085,19603,2646405,1.1189057157266822,2961077
431,2017-03-09,4085,19603,2646405,1.138747505816153,3013587
432,2017-03-10,4085,19603,2646405,1.1607696084403207,3071866
433,2017-03-11,4086,19608,2647080,1.173357870250899,3105972
434,2017-03-12,4086,19608,2647080,1.1547406998949323,3056691
435,2017-03-13,4087,19613,2647755,1.1343993714168403,3003611
436,2017-03-14,4087,19613,2647755,1.1617389908711602,3076000
437,2017-03-15,4087,19613,2647755,1.1568421490162253,3063034
438,2017-03-16,4087,19613,2647755,1.121591179203106,2969698
439,2017-03-17,4088,19618,2648430,1.152331018957493,3051868
